species,mean_bio1,mean_bio12,sd_bio1,sd_bio12,se_bio1,se_bio12
Bolbites_onitoides,21.64999994,1191.766652,3.181194984,276.5635087,1.298717414,112.9065796
Coprophanaeus_bellicosus,21.29285758,1690.157122,2.790374509,629.0161432,1.054662431,237.7457551
Coprophanaeus_bonariensis,23.1500001,1209.987503,1.395912377,306.828699,0.493529554,108.4803269
Coprophanaeus_boucardi,23.14999998,2421.911906,2.607400508,632.3386055,0.402330633,97.57196513
Coprophanaeus_chiriquensis,18.83333349,4282.761203,1.986202562,563.3500041,0.468152434,132.7828694
Coprophanaeus_corythus,24.61520278,2712.765534,2.250476021,774.2804309,0.092493995,31.82272968
Coprophanaeus_cyanescens,24.70217406,1420.43478,2.132192764,323.0434209,0.444592925,67.35920962
Coprophanaeus_dardanus,25.41060598,2789.975782,1.034087612,583.4039534,0.180011547,101.5575927
Coprophanaeus_ensifer,22.01428618,1619.471409,1.62082935,199.3589865,0.433184865,53.28093031
Coprophanaeus_ignecinctus,16.91999989,2440.329968,3.395765327,852.8954523,1.073835283,269.7092235
Coprophanaeus_kohlmanni,22.67857119,3883.671448,1.858514909,649.5013223,0.248354501,86.79326501
Coprophanaeus_lancifer,25.30882357,2357.068635,1.244375715,413.6186667,0.174247453,57.91819814
Coprophanaeus_pertyi,25.0625,957.5000076,1.544055675,238.3989259,0.545906119,84.28674857
Coprophanaeus_pluto,22.36208789,1235.25879,2.653522026,682.3825065,0.196692139,50.58155666
Coprophanaeus_saphirinus,18.86428588,2090.957171,1.340930426,175.9463456,0.506824062,66.50146781
Coprophanaeus_solisi,24.72692299,4407.499962,0.869054936,542.0888833,0.241032472,150.348405
Coprophanaeus_spitzi,23.20000013,1659.716675,1.490972346,413.4734382,0.608686911,168.7998243
Coprophanaeus_telamon,24.17554883,3200.126549,2.133903935,1285.752592,0.095335797,57.44318948
Coprophanaeus_uhleri,21.0777777,3651.95558,1.681089852,698.196613,0.280181642,116.3661022
Dendropaemon_bahianus,22.82333349,1296.053341,2.254033255,365.8669241,0.581988884,94.46643359
Dendropaemon_convexus,21.66818168,1531.236373,0.928243701,150.0619801,0.279876007,45.24538939
Dendropaemon_nigritulus,25.65999966,2597.950049,0.806157126,637.3860175,0.254929267,201.5591564
Oxysternon_conspicillatum,22.91199105,3057.616301,2.801282858,838.7257027,0.188434677,56.41879618
Oxysternon_durantoni,24.97999992,2798.700024,1.100203764,497.7843994,0.200868806,90.88258145
Oxysternon_festivum,25.59624996,2646.861247,1.237386332,592.2013963,0.138343998,66.21012892
Oxysternon_macleayi,25.35000038,2097.5,0.141421896,369.3925134,0.100000381,261.1999512
Oxysternon_silenus,24.84999984,3576.107718,1.383714849,1190.067413,0.145052729,124.7529624
Oxysternon_spiniferum,24.88913047,2883.756533,1.291841258,533.2659283,0.269367523,111.1936326
Phanaeus_achilles,23.26904778,855.8904782,1.940777848,438.626036,0.423512447,95.71604818
Phanaeus_amethystinus,21.00428582,2427.585717,4.887563342,684.0280446,0.476977342,66.75430187
Phanaeus_amithaon,19.84327726,911.2336157,2.893555994,250.9823684,0.265251843,23.00751599
Phanaeus_beltianus,23.10333328,3808.153337,1.459386547,623.4585783,0.376811986,160.9763127
Phanaeus_bispinus,24.8485715,2814.048565,1.954592649,677.1603833,0.233618505,80.93614633
Phanaeus_cambeforti,23.91190479,3233.857137,2.034752638,1165.101244,0.222009714,127.1229677
Phanaeus_chalcomelas,23.9289158,2943.16145,3.039952489,837.9483788,0.235946072,65.03740747
Phanaeus_changdiazi,25.68333308,3273.333252,0.057735247,29.56030559,0.03333346,17.06665039
Phanaeus_dejeani,19.28428574,1832.388578,2.234744815,309.9006785,0.377740818,52.38277539
Phanaeus_demon,24.15736845,1067.925261,2.549311265,363.8155408,0.261553817,37.3266869
Phanaeus_difformis,19.5333333,836.0035704,3.288345103,291.220478,0.358787865,31.77475915
Phanaeus_endymion,23.62759206,2616.904183,2.004576004,578.2995306,0.081973209,23.64842642
Phanaeus_eximius,24.93928555,2125.160679,1.680683255,375.1619211,0.31761928,70.8989389
Phanaeus_furiosus,21.53977275,998.3420473,2.413422167,310.0419433,0.257271667,33.0505822
Phanaeus_guatemalensis,15.70517251,3296.237923,2.410184683,1040.690816,0.44756006,193.251433
Phanaeus_haroldi,24.7322916,3118.372908,2.56412477,1008.75177,0.261699888,102.9552964
Phanaeus_hermes,25.19177216,2218.049358,2.843643783,834.53778,0.319934921,93.89283592
Phanaeus_howdeni,25.91666667,2789.733276,0.29439164,414.5430216,0.120184884,169.2364799
Phanaeus_igneus,21.05799995,1353.925996,1.436668447,85.05874656,0.2031756,12.0291233
Phanaeus_kirbyi,22.29499989,1619.442497,2.547894975,362.3723237,0.402857568,57.29609519
Phanaeus_lecourti,17.71428544,2145.528591,4.582173912,643.5514666,1.22463749,171.9963642
Phanaeus_lunaris,20.37424235,2061.884854,4.58366872,957.9631962,0.797914306,166.7599877
Phanaeus_malyi,23.08555548,4469.409999,2.731477373,902.2404613,0.287922996,95.10449517
Phanaeus_meleagris,20.55649336,3819.149341,2.868354477,1563.425705,0.32687933,178.1688946
Phanaeus_melibaeus,25.72142873,1590.814279,1.621433851,379.545182,0.612844391,143.4545947
Phanaeus_nimrod,20.87222237,803.3777737,2.567799634,253.2196769,0.605236178,59.68445021
Phanaeus_palaeno,22.87553199,1660.025532,2.154819333,362.6001559,0.314312704,52.89066865
Phanaeus_prasinus,24.19117636,1460.223543,3.288817721,371.9023199,0.797655461,90.19956161
Phanaeus_pyrois,22.92926816,3439.281719,1.903002042,951.9713328,0.21015142,105.1276471
Phanaeus_quadridens,15.28333331,779.8907107,2.000833164,330.8767227,0.147905843,24.45911115
Phanaeus_sallei,23.62118656,2764.272887,2.26761311,501.418556,0.208750707,46.15931956
Phanaeus_sororibispinus,25.15909074,2011.036366,1.195369643,226.1456581,0.360417508,68.18548144
Phanaeus_splendidulus,20.975,1772.446428,2.487940799,335.6016401,0.271456596,36.61714093
Phanaeus_texensis,19.13679236,869.5943454,1.793367898,232.2093436,0.246338026,31.89640639
Phanaeus_vindex,14.82267078,1012.441611,3.627164503,336.2600986,0.202133975,18.73904267
Phanaeus_wagneri,23.15208344,1974.729156,3.348450796,653.3212809,0.483307242,94.29880434
Phanaeus_yecoraensis,15.58999987,1041.669995,1.997331644,126.9502891,0.631611724,40.14520632
Sulcophanaeus_auricollis,19.50555547,4104.2111,3.00129631,801.9431635,1.000432103,267.3143878
Sulcophanaeus_faunus,24.75909112,2381.272716,1.243748221,324.3182786,0.375004198,97.78564026
Sulcophanaeus_noctis,23.09818162,3890.687289,2.0495572,1039.120115,0.195417611,99.0762155
Sulcophanaeus_velutinus,18.51913584,4200.042025,1.869066715,804.4047226,0.207674079,89.37830251
